Fecha;Tasa 
31/01/01;12
28/02/01;12
31/03/01;11.5
30/04/01;11.5
31/05/01;11.5
30/06/01;11.5
31/07/01;11
31/08/01;10
30/09/01;9.5
31/10/01;9.25
30/11/01;8.75
31/12/01;8.5
31/01/02;8
28/02/02;8
31/03/02;7.25
30/04/02;6.25
31/05/02;5.75
30/06/02;5.25
31/07/02;5.25
31/08/02;5.25
30/09/02;5.25
31/10/02;5.25
30/11/02;5.25
31/12/02;5.25
31/01/03;6.25
28/02/03;6.25
31/03/03;6.25
30/04/03;7.25
31/05/03;7.25
30/06/03;7.25
31/07/03;7.25
31/08/03;7.25
30/09/03;7.25
31/10/03;7.25
30/11/03;7.25
31/12/03;7.25
31/01/04;7.25
29/02/04;7
31/03/04;6.75
30/04/04;6.75
31/05/04;6.75
30/06/04;6.75
31/07/04;6.75
31/08/04;6.75
30/09/04;6.75
31/10/04;6.75
30/11/04;6.75
31/12/04;6.5
31/01/05;6.5
28/02/05;6.5
31/03/05;6.5
30/04/05;6.5
31/05/05;6.5
30/06/05;6.5
31/07/05;6.5
31/08/05;6.5
30/09/05;6
31/10/05;6
30/11/05;6
31/12/05;6
31/01/06;6
28/02/06;6
31/03/06;6
30/04/06;6
31/05/06;6.25
30/06/06;6.5
31/07/06;6.5
31/08/06;6.75
30/09/06;6.75
31/10/06;7.25
30/11/06;7.25
31/12/06;7.5
31/01/07;7.75
28/02/07;8
31/03/07;8.25
30/04/07;8.25
31/05/07;8.75
30/06/07;9
31/07/07;9.25
31/08/07;9.25
30/09/07;9.25
31/10/07;9.25
30/11/07;9.5
31/12/07;9.5
31/01/08;9.5
29/02/08;9.75
31/03/08;9.75
30/04/08;9.75
31/05/08;9.75
30/06/08;9.75
31/07/08;10
31/08/08;10
30/09/08;10
31/10/08;10
30/11/08;10
31/12/08;9.5
31/01/09;9.5
28/02/09;9
31/03/09;7
30/04/09;7
31/05/09;6
30/06/09;4.5
31/07/09;4.5
31/08/09;4.5
30/09/09;4
31/10/09;4
30/11/09;3.5
31/12/09;3.5
31/01/10;3.5
28/02/10;3.5
31/03/10;3.5
30/04/10;3.5
31/05/10;3
30/06/10;3
31/07/10;3
31/08/10;3
30/09/10;3
31/10/10;3
30/11/10;3
31/12/10;3
31/01/11;3
28/02/11;3.25
31/03/11;3.5
30/04/11;3.5
31/05/11;4
30/06/11;4.25
31/07/11;4.25
31/08/11;4.5
30/09/11;4.5
31/10/11;4.5
30/11/11;4.75
31/12/11;4.75
31/01/12;5
29/02/12;5.25
31/03/12;5.25
30/04/12;5.25
31/05/12;5.25
30/06/12;5.25
31/07/12;5
31/08/12;4.75
30/09/12;4.75
31/10/12;4.75
30/11/12;4.5
31/12/12;4.25
31/01/13;4
28/02/13;3.75
31/03/13;3.25
30/04/13;3.25
31/05/13;3.25
30/06/13;3.25
31/07/13;3.25
31/08/13;3.25
30/09/13;3.25
31/10/13;3.25
30/11/13;3.25
31/12/13;3.25
31/01/14;3.25
28/02/14;3.25
31/03/14;3.25
30/04/14;3.5
31/05/14;3.5
30/06/14;4
31/07/14;4
31/08/14;4.25
30/09/14;4.5
31/10/14;4.5
30/11/14;4.5
31/12/14;4.5
31/01/15;4.5
28/02/15;4.5
31/03/15;4.5
30/04/15;4.5
31/05/15;4.5
30/06/15;4.5
31/07/15;4.5
31/08/15;4.5
30/09/15;4.75
31/10/15;4.75
30/11/15;5.5
31/12/15;5.75
31/01/16;5.75
29/02/16;6.25
31/03/16;6.5
30/04/16;6.5
31/05/16;7.25
30/06/16;7.5
31/07/16;7.5
31/08/16;7.75
30/09/16;7.75
31/10/16;7.75
30/11/16;7.75
31/12/16;7.5
31/01/17;7.5
28/02/17;7.25
31/03/17;7
30/04/17;7
31/05/17;6.25
30/06/17;6.25
31/07/17;5.5
31/08/17;5.5
30/09/17;5.25
31/10/17;5
30/11/17;4.75
31/12/17;4.75
31/01/18;4.5
28/02/18;4.5
31/03/18;4.5
30/04/18;4.25
31/05/18;4.25
30/06/18;4.25
31/07/18;4.25
31/08/18;4.25
30/09/18;4.25
31/10/18;4.25
30/11/18;4.25
31/12/18;4.25
31/01/19;4.25
28/02/19;4.25
31/03/19;4.25
30/04/19;4.25
31/05/19;4.25
30/06/19;4.25
31/07/19;4.25
31/08/19;4.25
30/09/19;4.25
31/10/19;4.25
30/11/19;4.25
31/12/19;4.25
31/01/20;4.25
29/02/20;4.25
31/03/20;3.75
30/04/20;3.75
31/05/20;3.25
30/06/20;2.75
31/07/20;2.5
31/08/20;2.25
30/09/20;1.75
31/10/20;1.75
30/11/20;1.75
31/12/20;1.75
31/01/21;1.75
28/02/21;1.75
31/03/21;1.75
30/04/21;1.75
31/05/21;1.75
30/06/21;1.75
31/07/21;1.75
31/08/21;1.75
30/09/21;1.75
31/10/21;2
30/11/21;2.5
31/12/21;3
31/01/22;4
28/02/22;4
31/03/22;4
28/04/22;5